Customer ID,Year,Quarter,Survey Date,Response Date,How likely are you to recommend insider to a friend or colleague ,How would you rate the value you gain from our company,How frequently are you using our platform,Please rate the overall quality of our products,Please rate the usability of the panel,Please rate your understanding of our reporting capabilities in the panel
CUS-1456750,2022,1,2022-01-01,2022-03-21,10,5,Once a Week,5,4.0,I am able to report everything easily
CUS-337900,2022,2,2022-04-01,2022-06-24,10,5,Once a Week,4,4.0,I am able to report everything easily
CUS-337900,2022,3,2022-07-01,2022-09-05,10,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-337900,2022,3,2022-07-01,2022-09-19,8,4,Once a Day,3,3.0,"I can pull all the numbers, but don't understand them"
CUS-337900,2022,2,2022-04-01,2022-06-06,10,5,Once a Week,5,4.0,I am able to report everything easily
CUS-337900,2022,3,2022-07-01,2022-09-02,10,5,Once a Month,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1494000,2022,3,2022-07-01,2022-09-30,10,5,Once a Week,5,4.0,"I can pull all the numbers, but don't understand them"
CUS-1494000,2022,3,2022-07-01,2022-09-30,9,4,Once a Week,4,4.0,"I can pull all the numbers, but don't understand them"
CUS-1494000,2022,1,2022-01-01,2022-03-21,9,4,Once a Week,4,4.0,"I can pull all the numbers, but don't understand them"
CUS-1468200,2022,3,2022-07-01,2022-09-27,10,5,Once a Week,5,4.0,I tried but could not find everything I need
CUS-1468200,2022,3,2022-07-01,2022-09-27,8,5,Once a Month,4,3.0,I am able to report everything easily
CUS-1468200,2022,2,2022-04-01,2022-06-17,10,4,Once a Week,4,3.0,I am able to report everything easily
CUS-1468200,2022,1,2022-01-01,2022-03-30,10,5,Once a Day,5,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1102150,2022,3,2022-07-01,2022-07-05,9,4,Once a Month,4,4.0,I am able to report everything easily
CUS-1102150,2022,3,2022-07-01,2022-09-07,8,4,Once a Week,4,4.0,I tried but could not find everything I need
CUS-329000,2022,1,2022-01-01,2022-03-01,9,4,Once a Week,4,3.0,I need someone from Insider team to provide me the report from the panel
CUS-329000,2022,3,2022-07-01,2022-09-23,5,3,Once a Week,3,3.0,I need someone from Insider team to provide me the report from the panel
CUS-1437350,2022,2,2022-04-01,2022-04-18,0,1,Once a Day,1,1.0,I tried but could not find everything I need
CUS-1437350,2022,2,2022-04-01,2022-04-15,7,2,Once a Day,2,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1437350,2022,3,2022-07-01,2022-07-05,9,4,Once a Day,5,5.0,I tried but could not find everything I need
CUS-591000,2022,1,2022-01-01,2022-03-01,10,5,Once a Day,5,5.0,I tried but could not find everything I need
CUS-591000,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,5,5.0,I tried but could not find everything I need
CUS-591000,2022,1,2022-01-01,2022-03-31,9,4,Once a Day,4,4.0,I tried but could not find everything I need
CUS-591000,2022,3,2022-07-01,2022-09-19,8,5,Once a Day,5,5.0,I am able to report everything easily
CUS-591000,2022,3,2022-07-01,2022-09-20,8,5,Once a Day,4,5.0,"I can pull all the numbers, but don't understand them"
CUS-993250,2022,3,2022-07-01,2022-09-23,8,5,Once a Day,3,3.0,I tried but could not find everything I need
CUS-993250,2022,3,2022-07-01,2022-09-07,9,5,Once a Day,4,4.0,I am able to report everything easily
CUS-1442150,2022,3,2022-07-01,2022-09-26,10,5,Once a Week,5,5.0,I don't use it often
CUS-1497650,2022,2,2022-04-01,2022-06-24,8,4,Once a Day,4,3.0,I don't use it often
CUS-530450,2022,3,2022-07-01,2022-08-30,9,4,Once a Day,4,4.0,I don't use it often
CUS-556900,2022,3,2022-07-01,2022-08-24,8,4,Once a Day,4,4.0,I am able to report everything easily
CUS-556900,2022,2,2022-04-01,2022-05-25,9,5,Once a Month,4,1.0,I don't use it often
CUS-556900,2022,2,2022-04-01,2022-05-25,9,4,Once a Day,4,3.0,I am able to report everything easily
CUS-556900,2022,3,2022-07-01,2022-09-24,9,5,Once a Month,5,5.0,I am able to report everything easily
CUS-1496900,2022,1,2022-01-01,2022-03-01,10,5,Once a Week,5,4.0,I tried but could not find everything I need
CUS-1496900,2022,2,2022-04-01,2022-06-01,10,5,Once a Week,5,4.0,I am able to report everything easily
CUS-1496900,2022,3,2022-07-01,2022-08-25,10,5,Once a Week,5,5.0,I am able to report everything easily
CUS-1496900,2022,3,2022-07-01,2022-08-25,10,4,Once a Week,4,4.0,I am able to report everything easily
CUS-1471600,2022,1,2022-01-01,2022-03-01,9,4,Once a Week,0,4.0,I am able to report everything easily
CUS-1471600,2022,3,2022-07-01,2022-09-22,9,5,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1490450,2022,1,2022-01-01,2022-03-31,10,5,Once a Month,4,4.0,I am able to report everything easily
CUS-1458100,2022,3,2022-07-01,2022-09-21,10,5,Once a Week,5,5.0,I tried but could not find everything I need
CUS-1458100,2022,3,2022-07-01,2022-08-24,9,5,Once a Week,4,4.0,I tried but could not find everything I need
CUS-1458100,2022,2,2022-04-01,2022-06-16,10,5,Once a Day,5,5.0,I am able to report everything easily
CUS-1458100,2022,3,2022-07-01,2022-09-21,10,5,Once a Week,4,3.0,I need someone from Insider team to provide me the report from the panel
CUS-262450,2022,2,2022-04-01,2022-05-20,10,5,Once a Week,4,5.0,I tried but could not find everything I need
CUS-262450,2022,1,2022-01-01,2022-02-01,10,5,Once a Week,5,4.0,I tried but could not find everything I need
CUS-262450,2022,2,2022-04-01,2022-06-07,9,4,Once a Month,4,4.0,I am able to report everything easily
CUS-1437050,2022,1,2022-01-01,2022-03-31,8,4,Once a Week,4,5.0,I am able to report everything easily
CUS-1002400,2022,2,2022-04-01,2022-06-10,8,4,Once a Month,4,3.0,I need someone from Insider team to provide me the report from the panel
CUS-1002400,2022,3,2022-07-01,2022-09-29,10,4,Once a Month,3,3.0,I need someone from Insider team to provide me the report from the panel
CUS-1002400,2022,1,2022-01-01,2022-03-01,9,4,Once a Month,4,,I need someone from Insider team to provide me the report from the panel
CUS-1002400,2022,1,2022-01-01,2022-03-21,9,4,Once a Month,4,,I need someone from Insider team to provide me the report from the panel
CUS-1483050,2022,1,2022-01-01,2022-03-18,10,5,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1483050,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1483050,2022,2,2022-04-01,2022-06-07,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1483050,2022,2,2022-04-01,2022-06-22,9,5,Once a Day,4,4.0,"I can pull all the numbers, but don't understand them"
CUS-1483050,2022,2,2022-04-01,2022-06-10,8,4,Once a Day,4,4.0,I am able to report everything easily
CUS-156100,2022,1,2022-01-01,2022-03-01,7,4,Once a Day,4,4.0,I am able to report everything easily
CUS-156100,2022,2,2022-04-01,2022-05-09,7,4,Once a Day,3,4.0,I am able to report everything easily
CUS-156100,2022,3,2022-07-01,2022-08-11,6,3,Once a Week,3,1.0,I am able to report everything easily
CUS-156100,2022,3,2022-07-01,2022-07-05,10,5,Once a Month,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-156100,2022,3,2022-07-01,2022-08-11,8,4,Once a Month,3,2.0,"I can pull all the numbers, but don't understand them"
CUS-1502750,2022,3,2022-07-01,2022-08-26,5,3,Once a Day,4,4.0,I am able to report everything easily
CUS-1502750,2022,1,2022-01-01,2022-03-31,10,5,Once a Day,5,3.0,I need someone from Insider team to provide me the report from the panel
CUS-1502750,2022,3,2022-07-01,2022-08-05,5,3,Once a Day,3,4.0,I tried but could not find everything I need
CUS-558150,2022,3,2022-07-01,2022-08-31,9,4,Once a Week,4,4.0,I am able to report everything easily
CUS-558150,2022,1,2022-01-01,2022-03-01,10,5,Once a Month,5,4.0,I am able to report everything easily
CUS-558150,2022,1,2022-01-01,2022-03-21,10,5,Once a Month,5,4.0,I am able to report everything easily
CUS-1472200,2022,2,2022-04-01,2022-05-09,8,4,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1472200,2022,2,2022-04-01,2022-06-13,9,4,Once a Day,4,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1472200,2022,2,2022-04-01,2022-05-09,8,4,Once a Day,4,3.0,I need someone from Insider team to provide me the report from the panel
CUS-1472200,2022,3,2022-07-01,2022-08-05,9,4,Once a Day,4,3.0,I am able to report everything easily
CUS-510050,2022,1,2022-01-01,2022-03-24,8,4,Once a Day,4,,I need someone from Insider team to provide me the report from the panel
CUS-510050,2022,3,2022-07-01,2022-09-09,9,4,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-510050,2022,1,2022-01-01,2022-03-23,9,4,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-510050,2022,3,2022-07-01,2022-09-06,9,5,Once a Day,4,5.0,I need someone from Insider team to provide me the report from the panel
CUS-510050,2022,1,2022-01-01,2022-03-23,9,5,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1467750,2022,1,2022-01-01,2022-03-30,10,5,Once a Week,0,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1467750,2022,2,2022-04-01,2022-06-30,10,4,Once a Week,5,5.0,I tried but could not find everything I need
CUS-1467750,2022,1,2022-01-01,2022-03-30,10,5,Once a Week,5,5.0,I am able to report everything easily
CUS-1467750,2022,2,2022-04-01,2022-06-17,10,5,Once a Day,4,4.0,I am able to report everything easily
CUS-1467750,2022,3,2022-07-01,2022-09-21,10,5,Once a Day,5,4.0,"I can pull all the numbers, but don't understand them"
CUS-1446900,2022,1,2022-01-01,2022-03-31,9,4,Once a Day,4,5.0,I don't use it often
CUS-1446900,2022,2,2022-04-01,2022-06-30,9,4,Once a Day,5,5.0,I don't use it often
CUS-1446900,2022,1,2022-01-01,2022-03-31,10,4,Once a Day,4,4.0,I am able to report everything easily
CUS-1446900,2022,2,2022-04-01,2022-06-30,10,5,Once a Day,4,4.0,I tried but could not find everything I need
CUS-1446900,2022,3,2022-07-01,2022-09-29,9,5,Once a Day,5,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1441050,2022,3,2022-07-01,2022-09-21,5,3,Once a Week,3,3.0,I am able to report everything easily
CUS-1441100,2022,2,2022-04-01,2022-06-06,9,4,Once a Day,3,2.0,I tried but could not find everything I need
CUS-1441100,2022,3,2022-07-01,2022-09-21,8,3,Once a Week,3,2.0,I need someone from Insider team to provide me the report from the panel
CUS-1478350,2022,2,2022-04-01,2022-05-26,8,5,Once a Day,4,3.0,I need someone from Insider team to provide me the report from the panel
CUS-1478350,2022,3,2022-07-01,2022-08-31,8,5,Once a Day,4,2.0,I tried but could not find everything I need
CUS-1478350,2022,1,2022-01-01,2022-03-31,7,5,Once a Day,5,4.0,I don't use it often
CUS-1478350,2022,3,2022-07-01,2022-08-31,8,4,Once a Day,4,3.0,"I can pull all the numbers, but don't understand them"
CUS-1478350,2022,3,2022-07-01,2022-09-07,7,4,Once a Day,4,3.0,"I can pull all the numbers, but don't understand them"
CUS-950700,2022,1,2022-01-01,2022-02-01,9,4,Once a Week,4,3.0,I am able to report everything easily
CUS-950700,2022,2,2022-04-01,2022-06-17,8,4,Once a Day,4,3.0,"I can pull all the numbers, but don't understand them"
CUS-950700,2022,3,2022-07-01,2022-09-09,9,4,Once a Day,4,3.0,I tried but could not find everything I need
CUS-1500450,2022,2,2022-04-01,2022-05-25,8,4,Once a Day,4,4.0,I am able to report everything easily
CUS-1461150,2022,3,2022-07-01,2022-08-04,9,5,Once a Day,4,5.0,I tried but could not find everything I need
CUS-1461150,2022,1,2022-01-01,2022-02-01,10,4,Once a Week,5,5.0,I am able to report everything easily
CUS-724550,2022,1,2022-01-01,2022-02-01,8,5,Once a Week,5,5.0,I am able to report everything easily
CUS-724550,2022,1,2022-01-01,2022-03-21,8,5,Once a Week,5,5.0,I am able to report everything easily
CUS-724550,2022,2,2022-04-01,2022-06-19,8,4,Once a Day,5,5.0,I am able to report everything easily
CUS-724550,2022,3,2022-07-01,2022-09-29,9,5,Once a Week,4,4.0,I am able to report everything easily
CUS-724550,2022,1,2022-01-01,2022-02-01,10,5,Once a Day,5,,I don't use it often
CUS-724550,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,5,,I don't use it often
CUS-724550,2022,3,2022-07-01,2022-09-26,10,5,Once a Day,5,4.0,I am able to report everything easily
CUS-1286600,2022,1,2022-01-01,2022-02-01,8,4,Once a Day,4,5.0,I am able to report everything easily
CUS-1286600,2022,1,2022-01-01,2022-03-21,8,4,Once a Day,4,5.0,I am able to report everything easily
CUS-1286600,2022,2,2022-04-01,2022-06-29,9,4,Once a Day,3,3.0,I am able to report everything easily
CUS-651350,2022,1,2022-01-01,2022-03-01,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-651350,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-651350,2022,2,2022-04-01,2022-05-31,10,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-651350,2022,3,2022-07-01,2022-09-20,10,5,Once a Week,5,5.0,I am able to report everything easily
CUS-1165050,2022,1,2022-01-01,2022-03-21,8,4,Once a Day,4,5.0,I don't use it often
CUS-1165050,2022,2,2022-04-01,2022-05-31,8,5,Once a Day,5,5.0,I am able to report everything easily
CUS-303900,2022,1,2022-01-01,2022-02-01,9,5,Once a Week,5,4.0,I am able to report everything easily
CUS-303900,2022,2,2022-04-01,2022-06-09,9,4,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-303900,2022,1,2022-01-01,2022-03-30,8,4,Once a Day,4,4.0,I don't use it often
CUS-303900,2022,2,2022-04-01,2022-05-05,8,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-303900,2022,3,2022-07-01,2022-07-05,8,4,Once a Month,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-303900,2022,3,2022-07-01,2022-09-06,8,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1509500,2022,3,2022-07-01,2022-09-06,10,4,Once a Month,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-159200,2022,1,2022-01-01,2022-02-01,5,3,Once a Week,3,,I am able to report everything easily
CUS-159200,2022,1,2022-01-01,2022-03-01,8,5,Once a Day,4,4.0,I tried but could not find everything I need
CUS-159200,2022,3,2022-07-01,2022-08-09,6,4,Once a Day,4,5.0,I am able to report everything easily
CUS-159200,2022,3,2022-07-01,2022-08-09,10,4,Once a Week,4,4.0,I tried but could not find everything I need
CUS-1521250,2022,2,2022-04-01,2022-06-24,8,4,Once a Day,4,4.0,I am able to report everything easily
CUS-1521250,2022,3,2022-07-01,2022-09-28,10,5,Once a Day,5,5.0,I am able to report everything easily
CUS-1521250,2022,2,2022-04-01,2022-06-23,10,5,Once a Day,5,5.0,I tried but could not find everything I need
CUS-1521250,2022,3,2022-07-01,2022-09-28,10,5,Once a Week,5,5.0,"I can pull all the numbers, but don't understand them"
CUS-1337250,2022,3,2022-07-01,2022-09-16,9,5,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1337250,2022,2,2022-04-01,2022-05-26,9,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1337250,2022,1,2022-01-01,2022-03-01,9,4,Once a Month,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1337250,2022,1,2022-01-01,2022-03-21,9,4,Once a Month,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1337250,2022,2,2022-04-01,2022-05-31,10,5,Once a Day,5,4.0,I tried but could not find everything I need
CUS-1337250,2022,3,2022-07-01,2022-08-05,6,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-200350,2022,3,2022-07-01,2022-09-13,6,3,Once a Day,3,4.0,"I can pull all the numbers, but don't understand them"
CUS-1513300,2022,3,2022-07-01,2022-09-06,8,4,Once a Week,4,4.0,I am able to report everything easily
CUS-1513300,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,5,5.0,I am able to report everything easily
CUS-1513300,2022,3,2022-07-01,2022-09-14,8,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1450500,2022,2,2022-04-01,2022-06-27,5,4,Once a Day,3,3.0,I am able to report everything easily
CUS-1450500,2022,1,2022-01-01,2022-03-01,10,5,Once a Day,5,4.0,I am able to report everything easily
CUS-1450500,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,5,4.0,I am able to report everything easily
CUS-1450500,2022,2,2022-04-01,2022-06-30,10,5,Once a Day,5,4.0,I am able to report everything easily
CUS-246300,2022,1,2022-01-01,2022-02-01,10,5,Once a Month,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-246300,2022,3,2022-07-01,2022-09-27,9,4,Once a Week,4,4.0,I am able to report everything easily
CUS-1507300,2022,3,2022-07-01,2022-09-20,10,5,Once a Week,5,4.0,I tried but could not find everything I need
CUS-190300,2022,2,2022-04-01,2022-06-30,8,4,Once a Week,4,4.0,I am able to report everything easily
CUS-190300,2022,3,2022-07-01,2022-09-30,8,4,Once a Month,4,4.0,I don't use it often
CUS-158700,2022,2,2022-04-01,2022-06-29,8,4,Once a Week,4,3.0,"I can pull all the numbers, but don't understand them"
CUS-158700,2022,1,2022-01-01,2022-02-01,9,5,Once a Week,5,,I need someone from Insider team to provide me the report from the panel
CUS-158700,2022,1,2022-01-01,2022-03-31,10,5,Once a Day,5,4.0,I need someone from Insider team to provide me the report from the panel
CUS-158700,2022,3,2022-07-01,2022-08-09,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1514050,2022,3,2022-07-01,2022-08-30,8,5,Once a Day,4,4.0,I don't use it often
CUS-1514050,2022,3,2022-07-01,2022-08-22,10,5,Once a Day,5,5.0,I tried but could not find everything I need
CUS-1514050,2022,3,2022-07-01,2022-09-06,10,5,Once a Day,5,5.0,I am able to report everything easily
CUS-1531000,2022,3,2022-07-01,2022-09-05,5,2,Once a Month,3,2.0,I tried but could not find everything I need
CUS-732750,2022,3,2022-07-01,2022-09-15,4,2,Once a Day,3,3.0,"I can pull all the numbers, but don't understand them"
CUS-732750,2022,2,2022-04-01,2022-06-28,10,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-167000,2022,2,2022-04-01,2022-06-28,10,5,Once a Day,5,5.0,I tried but could not find everything I need
CUS-167000,2022,3,2022-07-01,2022-08-11,10,5,Once a Day,4,4.0,"I can pull all the numbers, but don't understand them"
CUS-167000,2022,3,2022-07-01,2022-09-05,8,4,Once a Day,4,4.0,"I can pull all the numbers, but don't understand them"
CUS-167000,2022,1,2022-01-01,2022-03-28,10,5,Once a Week,5,4.0,I tried but could not find everything I need
CUS-1461550,2022,2,2022-04-01,2022-04-18,8,4,Once a Day,4,4.0,I am able to report everything easily
CUS-1461550,2022,3,2022-07-01,2022-07-07,8,4,Once a Month,4,4.0,I don't use it often
CUS-1461550,2022,2,2022-04-01,2022-06-15,8,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1461550,2022,3,2022-07-01,2022-09-26,8,5,Once a Month,4,4.0,"I can pull all the numbers, but don't understand them"
CUS-1461550,2022,2,2022-04-01,2022-06-15,7,4,Once a Week,4,4.0,"I can pull all the numbers, but don't understand them"
CUS-1461550,2022,3,2022-07-01,2022-09-30,10,5,Once a Month,5,4.0,"I can pull all the numbers, but don't understand them"
CUS-618050,2022,2,2022-04-01,2022-05-17,0,1,Once a Day,1,1.0,I need someone from Insider team to provide me the report from the panel
CUS-618050,2022,3,2022-07-01,2022-07-05,0,1,Once a Day,1,1.0,I need someone from Insider team to provide me the report from the panel
CUS-618050,2022,1,2022-01-01,2022-02-01,5,3,Once a Day,3,,I don't use it often
CUS-1509900,2022,3,2022-07-01,2022-07-05,9,5,Once a Day,5,5.0,I am able to report everything easily
CUS-1509900,2022,1,2022-01-01,2022-02-01,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1509900,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1509900,2022,2,2022-04-01,2022-06-14,10,4,Once a Day,4,5.0,I am able to report everything easily
CUS-1511400,2022,1,2022-01-01,2022-02-01,10,5,Once a Day,4,5.0,I tried but could not find everything I need
CUS-1511400,2022,2,2022-04-01,2022-04-25,10,5,Once a Day,5,5.0,I don't use it often
CUS-1511400,2022,3,2022-07-01,2022-07-05,10,4,Once a Day,4,5.0,I am able to report everything easily
CUS-1511400,2022,2,2022-04-01,2022-06-13,9,4,Once a Day,4,4.0,I am able to report everything easily
CUS-157450,2022,2,2022-04-01,2022-04-15,9,5,Once a Day,5,4.0,I tried but could not find everything I need
CUS-157450,2022,3,2022-07-01,2022-08-05,9,4,Once a Week,4,4.0,I am able to report everything easily
CUS-157450,2022,1,2022-01-01,2022-03-31,6,3,Once a Week,4,3.0,I am able to report everything easily
CUS-157450,2022,2,2022-04-01,2022-04-18,6,3,Once a Day,4,5.0,I tried but could not find everything I need
CUS-157450,2022,3,2022-07-01,2022-09-12,7,3,Once a Day,4,5.0,I am able to report everything easily
CUS-1450750,2022,3,2022-07-01,2022-09-29,10,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1450750,2022,3,2022-07-01,2022-09-30,8,4,Once a Week,5,4.0,I tried but could not find everything I need
CUS-1450750,2022,3,2022-07-01,2022-09-19,9,5,Once a Week,4,4.0,I tried but could not find everything I need
CUS-796400,2022,3,2022-07-01,2022-09-29,7,4,Once a Week,3,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1447650,2022,3,2022-07-01,2022-09-22,9,5,Once a Day,4,5.0,I am able to report everything easily
CUS-417150,2022,3,2022-07-01,2022-07-03,9,4,Once a Week,4,4.0,I am able to report everything easily
CUS-424350,2022,3,2022-07-01,2022-09-26,8,4,Once a Month,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-424350,2022,3,2022-07-01,2022-09-22,8,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1500900,2022,1,2022-01-01,2022-03-01,10,5,Once a Week,5,4.0,I don't use it often
CUS-1500900,2022,2,2022-04-01,2022-04-18,9,4,Once a Month,4,3.0,"I can pull all the numbers, but don't understand them"
CUS-1500900,2022,3,2022-07-01,2022-09-12,9,5,Once a Week,4,4.0,I am able to report everything easily
CUS-1500900,2022,3,2022-07-01,2022-09-09,10,5,Once a Week,5,4.0,I am able to report everything easily
CUS-166450,2022,1,2022-01-01,2022-03-30,10,5,Once a Week,0,5.0,I need someone from Insider team to provide me the report from the panel
CUS-166450,2022,2,2022-04-01,2022-05-24,10,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-166450,2022,3,2022-07-01,2022-09-19,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-166450,2022,1,2022-01-01,2022-03-28,9,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-166450,2022,2,2022-04-01,2022-06-27,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-166450,2022,3,2022-07-01,2022-09-21,10,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1516700,2022,3,2022-07-01,2022-09-30,8,4,Once a Week,5,4.0,I am able to report everything easily
CUS-1484950,2022,3,2022-07-01,2022-09-08,8,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1484950,2022,1,2022-01-01,2022-03-21,9,4,Once a Week,5,3.0,I need someone from Insider team to provide me the report from the panel
CUS-1461000,2022,1,2022-01-01,2022-03-21,9,4,Once a Week,4,,I tried but could not find everything I need
CUS-1461000,2022,3,2022-07-01,2022-08-09,3,2,Once a Month,2,2.0,"I can pull all the numbers, but don't understand them"
CUS-1461800,2022,2,2022-04-01,2022-04-20,8,5,Once a Week,5,5.0,I am able to report everything easily
CUS-1468700,2022,2,2022-04-01,2022-04-04,7,4,Once a Week,4,3.0,I don't use it often
CUS-1468700,2022,2,2022-04-01,2022-04-26,7,4,Once a Week,4,3.0,I am able to report everything easily
CUS-1468700,2022,3,2022-07-01,2022-07-05,7,4,Once a Week,4,4.0,I am able to report everything easily
CUS-1468700,2022,3,2022-07-01,2022-08-05,7,4,Once a Week,4,4.0,I tried but could not find everything I need
CUS-1468700,2022,3,2022-07-01,2022-09-20,7,4,Once a Week,4,4.0,I tried but could not find everything I need
CUS-1468700,2022,3,2022-07-01,2022-07-14,7,3,Once a Week,4,4.0,I don't use it often
CUS-532950,2022,1,2022-01-01,2022-02-01,10,5,Once a Week,5,5.0,I am able to report everything easily
CUS-532950,2022,3,2022-07-01,2022-09-13,10,5,Once a Day,5,5.0,I am able to report everything easily
CUS-596350,2022,1,2022-01-01,2022-02-01,10,5,Once a Day,5,5.0,I am able to report everything easily
CUS-596350,2022,1,2022-01-01,2022-03-21,10,5,Once a Day,5,5.0,I am able to report everything easily
CUS-596350,2022,2,2022-04-01,2022-06-23,10,5,Once a Day,4,4.0,I am able to report everything easily
CUS-879300,2022,2,2022-04-01,2022-05-18,9,4,Once a Day,4,4.0,I tried but could not find everything I need
CUS-879300,2022,3,2022-07-01,2022-07-05,9,5,Once a Day,4,5.0,"I can pull all the numbers, but don't understand them"
CUS-879300,2022,2,2022-04-01,2022-05-31,10,5,Once a Month,5,4.0,I need someone from Insider team to provide me the report from the panel
CUS-879300,2022,3,2022-07-01,2022-09-12,9,4,Once a Month,4,3.0,I need someone from Insider team to provide me the report from the panel
CUS-561550,2022,1,2022-01-01,2022-03-30,10,3,Once a Day,3,3.0,I tried but could not find everything I need
CUS-561550,2022,2,2022-04-01,2022-05-17,8,4,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-561550,2022,3,2022-07-01,2022-09-14,8,4,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-561550,2022,2,2022-04-01,2022-06-30,10,4,Once a Day,5,4.0,I need someone from Insider team to provide me the report from the panel
CUS-561550,2022,3,2022-07-01,2022-07-05,10,4,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-155950,2022,1,2022-01-01,2022-03-28,8,5,Once a Day,5,5.0,"I can pull all the numbers, but don't understand them"
CUS-155950,2022,1,2022-01-01,2022-03-28,10,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-155950,2022,3,2022-07-01,2022-09-27,10,5,Once a Day,5,5.0,I tried but could not find everything I need
CUS-156000,2022,3,2022-07-01,2022-09-21,9,5,Once a Day,5,4.0,I need someone from Insider team to provide me the report from the panel
CUS-424350,2022,2,2022-04-01,2022-06-10,8,5,Once a Month,5,5.0,I don't use it often
CUS-424550,2022,2,2022-04-01,2022-06-10,5,4,Once a Month,3,4.0,I don't use it often
CUS-547450,2022,2,2022-04-01,2022-06-17,9,4,Once a Week,4,4.0,I don't use it often
CUS-1447200,2022,3,2022-07-01,2022-09-27,10,5,Once a Month,5,5.0,I am able to report everything easily
CUS-1447200,2022,2,2022-04-01,2022-06-10,9,4,Once a Month,4,4.0,I am able to report everything easily
CUS-1447200,2022,3,2022-07-01,2022-09-27,10,5,Once a Day,5,5.0,I am able to report everything easily
CUS-1447200,2022,1,2022-01-01,2022-03-21,9,5,Once a Week,5,3.0,I need someone from Insider team to provide me the report from the panel
CUS-513800,2022,2,2022-04-01,2022-06-15,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-349000,2022,1,2022-01-01,2022-02-01,9,5,Once a Month,4,4.0,I tried but could not find everything I need
CUS-349000,2022,1,2022-01-01,2022-03-21,9,5,Once a Month,4,4.0,I tried but could not find everything I need
